"CAMPUS_TRADING_NAME","coordinates","EDUCATION_SECTOR","EDUCATIONAL_FACILITY_PROVIDER_CODE","EDUCATIONAL_FACILITY_COMPANY_NAME","EDUCATIONAL_FACILITY_TRADING_NAME","LOCATION_NAME","CITY_REGIONAL_FLAG","AREA","Source","UNIVERSITY_CAMPUS_LONG","UNIVERSITY_CAMPUS_LAT","Cambodia","Canada","China","France","Hong Kong","India","Indonesia","Ireland","Italy","Japan","Korea, Republic of (South)","Macau","Malawi","Malaysia","Malta","Myanmar, The Republic of the Union of","Nepal","Netherlands","Pakistan","Papua New Guinea","Philippines","Portugal","Russian Federation","Saudi Arabia","Singapore","South Africa","Sri Lanka","Sweden","Taiwan","Thailand","Turkey","Ukraine","United Arab Emirates","United Kingdom British - Citizen","United Kingdom British - National (Overseas)","United States of America","Venezuela, Bolivarian Republic of","Vietnam","Zambia","Zimbabwe"
"Moorabbin Flying Services","c(-37.9733, 145.09)","All sectors","02983F","J & J Aviation Pty Ltd","Moorabbin Flying Services","Moorabbin Airport","No","0.4","International student data 14/01/2018",145.09,-37.9733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0
"National Theatre (Drama & Ballet School)","c(-37.867, 144.981)","VET","01551E","Australian National Memorial Theatre Ltd","National Theatre","Australian National Memorial Theatre Ltd","No","0.4","International student data 14/01/2018",144.981,-37.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Melbourne College","c(-37.8034, 144.895)","VET","03266E","Berkeley College Pty Ltd","North Melbourne College","North Melbourne College, 84 Buckley Street, Footscray, VIC","No","0.6","International student data 14/01/2018",144.895,-37.8034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melbourne Polytechnic, Preston TAFE Campus","c(-37.7413, 144.998)","VET","00724G","Melbourne Polytechnic","Melbourne Polytechnic","Preston Campus","No","0.4","International student data 14/01/2018",144.998,-37.7413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,13,0,0,0,13
"Melbourne Polytechnic, Heidelberg Campus","c(-37.7506, 145.046)","VET","00724G","Melbourne Polytechnic","Melbourne Polytechnic","Heidelberg Campus","No","0.4","International student data 14/01/2018",145.046,-37.7506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,13,0,0,0,13
"Melbourne Polytechnic, Epping Campus","c(-37.6531, 145.031)","Higher Education","00724G","Melbourne Polytechnic","Melbourne Polytechnic","Epping Campus","No","0.7","International student data 14/01/2018",145.031,-37.6531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,13,0,0,0,13
"Melbourne Polytechnic, Fairfield Campus","c(-37.792, 145.009)","VET","00724G","Melbourne Polytechnic","Melbourne Polytechnic","Fairfield Campus","No","0.6","International student data 14/01/2018",145.009,-37.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,13,0,0,0,13
"Nova Institute of Technology","c(-37.8153, 144.961)","ELICOS","02856B","Nova International Education Pty Ltd","Nova Institute of Technology","Nova International Education Pty Ltd","No","0.4","International student data 14/01/2018",144.961,-37.8153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Oceania Polytechnic Institute of Education (OPIE)","c(-37.8173, 144.959)","VET","01905F","Oceania Polytechnic Institute of Education Pty. Ltd.","Oceania Polytechnic","Oceania Polytechnic Institute of Education P/L","No","0.7","International student data 14/01/2018",144.959,-37.8173,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ozford College of Busines","c(-37.8106, 144.969)","VET","02573B","Ozford Business College Pty Ltd","Ozford College of Business","Ozford College of Business, Melbourne 123 Lonsdale Street","No","0.4","International student data 14/01/2018",144.969,-37.8106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0
