"CAMPUS_TRADING_NAME","coordinates","EDUCATION_SECTOR","EDUCATIONAL_FACILITY_PROVIDER_CODE","EDUCATIONAL_FACILITY_COMPANY_NAME","EDUCATIONAL_FACILITY_TRADING_NAME","LOCATION_NAME","CITY_REGIONAL_FLAG","AREA","Source","UNIVERSITY_CAMPUS_LONG","UNIVERSITY_CAMPUS_LAT","Cambodia","Canada","China","France","Hong Kong","India","Indonesia","Ireland","Italy","Japan","Korea, Republic of (South)","Macau","Malawi","Malaysia","Malta","Myanmar, The Republic of the Union of","Nepal","Netherlands","Pakistan","Papua New Guinea","Philippines","Portugal","Russian Federation","Saudi Arabia","Singapore","South Africa","Sri Lanka","Sweden","Taiwan","Thailand","Turkey","Ukraine","United Arab Emirates","United Kingdom British - Citizen","United Kingdom British - National (Overseas)","United States of America","Venezuela, Bolivarian Republic of","Vietnam","Zambia","Zimbabwe"
"Holmesglen Institute, Holmesglen Moorabbin Campus","c(-37.9354, 145.05)","VET","02380M","Le Cordon Bleu Australia Pty Limited","Le Cordon Bleu Australia Pty Limited","Holmesglen Moorabbin Campus","No","0.6","International student data 14/01/2018",145.05,-37.9354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
"Impact English College, Melbourne Campus","c(-37.8163, 144.955)","All sectors","02995B","Impact English College Pty Ltd","Impact English College Pty Ltd","Impact English College Pty Ltd, Level 5, 620 Bourke Street","No","1.8","International student data 14/01/2018",144.955,-37.8163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0
"Imperial College of Technology and Management","c(-37.8007, 144.993)","All sectors","02858M","BJSB Pty Ltd","The Imperial College of Australia","Abbotsford","No","0.6","International student data 14/01/2018",144.993,-37.8007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
"Australian Institute of Trades, Institute of Hotel Management Australia","c(-37.8183, 144.998)","VET","02601C","Australian Institute of Trades Pty Ltd as Trustee for the Institute of Hotel Management Australia","Institute of Hotel Management Australia","Institute of Hotel Management Australia, Suite 33 & 33a 261 Bridge Rd","No","0.4","International student data 14/01/2018",144.998,-37.8183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
"INUS Australia Education and Training","c(-37.8165, 144.961)","ELICOS","03341K","INUS Australia Pty Ltd","INUS Australia Education and Training","INUS Australia Pty Ltd","No","0.6","International student data 14/01/2018",144.961,-37.8165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0
"JMC Academy","c(-37.8341, 144.962)","All sectors","01259J","JMC Pty Limited","JMC Academy","Melbourne","No","0.4","International student data 14/01/2018",144.962,-37.8341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0
"Kangan Batman Institute of TAFE, Richmond","c(-37.8293, 144.993)","VET","01218G","Bendigo Kangan Institute","Bendigo TAFE; and Kangan Institute","Richmond","No","0.4","International student data 14/01/2018",144.993,-37.8293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0
"Kangan Batman Institute of TAFE, Docklands","c(-37.8222, 144.948)","ELICOS","01218G","Bendigo Kangan Institute","Bendigo TAFE; and Kangan Institute","Docklands","No","0.4","International student data 14/01/2018",144.948,-37.8222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0
"Kangan Institute, Moonee Ponds Campus","c(-37.766, 144.923)","All sectors","01218G","Bendigo Kangan Institute","Bendigo TAFE; and Kangan Institute","Moonee Ponds Campus","No","0.6","International student data 14/01/2018",144.923,-37.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kaplan Business School ","c(-37.8129, 144.942)","Higher Education","02426B","Kaplan Business School Pty Ltd","Kaplan Business School Pty Ltd","Kaplan Business School Pty Ltd, 370 Docklands Drive, Docklands","No","0.6","International student data 14/01/2018",144.942,-37.8129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
"La Trobe University, City Campus (Collins Street), City Campus (Collins Street)","c(-37.816, 144.962)","Higher Education","00115M","La Trobe University (La Trobe)","La Trobe University","City Campus (Collins Street)","No","0.4","International student data 14/01/2018",144.962,-37.816,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,20,0,9,0,0,9,0
"La Trobe University, Bendigo Campus","c(-36.7812, 144.296)","Higher Education","00115M","La Trobe University (La Trobe)","La Trobe University","Bendigo Campus","Yes","0.4","International student data 14/01/2018",144.296,-36.7812,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,20,0,9,0,0,9,0
"La Trobe University, Shepparton Campus","c(-36.3808, 145.406)","All sectors","00115M","La Trobe University (La Trobe)","La Trobe University","Shepparton Campus","Yes","0.4","International student data 14/01/2018",145.406,-36.3808,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,20,0,9,0,0,9,0
"La Trobe University, Mildura Campus","c(-34.2048, 142.168)","Higher Education","00115M","La Trobe University (La Trobe)","La Trobe University","Mildura Campus","Yes","0.6","International student data 14/01/2018",142.168,-34.2048,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,20,0,9,0,0,9,0
"La Trobe University, Albury-Wodonga Campus","c(-36.1121, 146.851)","All sectors","00115M","La Trobe University (La Trobe)","La Trobe University","Albury-Wodonga Campus","Yes","0.4","International student data 14/01/2018",146.851,-36.1121,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,20,0,9,0,0,9,0
"La Trobe University, Melbourne (Bundoora) Campus","c(-37.7256, 145.048)","Non-award","00115M","La Trobe University (La Trobe)","La Trobe University","Melbourne (Bundoora) Campus","No","1.1","International student data 14/01/2018",145.048,-37.7256,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,20,0,9,0,0,9,0
"Lawson College Australia","c(-37.9875, 145.215)","VET","03406J","Lawson College Australia Pty Ltd","Lawson College Australia","Lawson College Australia, Level 2, 228 - 234 Lonsdale Street Dandenong","No","0.4","International student data 14/01/2018",145.215,-37.9875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Institute of Tertiary and Higher Education Australia (ITHEA)","c(-37.8166, 144.96)","All sectors","02892J","ITHEA Corporation Pty Ltd","Institute of Tertiary and Higher Education Australia","Institute of Tertiary and Higher Education Australia, Level 9-11, 168 Lonsdale Street, Melbourne, Level 9-11, 168 Lonsdale Street, Melbourne","No","0.4","International student data 14/01/2018",144.96,-37.8166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0
"Central Melbourne Institute (CMI), City Campus","c(-37.8149, 144.96)","VET","03351G","Malvern Institute Pty Ltd","Malvern International College, Central Melbourne Institute","Malvern International College, Central Melbourne Institute, 460 Bourke Street","No","0.4","International student data 14/01/2018",144.96,-37.8149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
"Melbourne College of Hair and Beauty","c(-37.8176, 144.966)","VET","02886G","Melbourne College of Hairdressing Beauty Therapy & Natural Medicine Pty Ltd","Melbourne College of Hair and Beauty; Melbourne College of Training & Assessment","Melbourne College of Hairdressing Beauty Therapy & Natural Medicine Pty Ltd as Trustee for The Melbourne College Trust","No","0.6","International student data 14/01/2018",144.966,-37.8176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
"Melbourne Flight Training","c(-37.9763, 145.095)","All sectors","02844F","Australian Pilot Training Alliance Pty Ltd","Melbourne Flight Training Pty Ltd","Melbourne Flight Training Pty Ltd","No","0.4","International student data 14/01/2018",145.095,-37.9763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
"Melbourne Polytechnic, Preston Campus","c(-37.7424899, 144.9957097)","All sectors","02450B","Education Access (Australia) Pty Ltd","Education Access Australia","Education Access (Australia) Pty Ltd","No","0.4","International student data 14/01/2018",144.9957097,-37.7424899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
"Melbourne School of Theology","c(-37.8601, 145.209)","All sectors","02650E","Australian College of Theology Limited","Australian College of Theology","Melbourne School of Theology","No","0.4","International student data 14/01/2018",145.209,-37.8601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0
"Menzies Institute of Technology, Batman Campus","c(-37.8111642, 144.9485787)","All sectors","02815M","Menzies Institute of Technology Pty Ltd","Menzies Institute of Technology","Menzies Institute of Technology, 510-516 LaTrobe Street Melbourne","No","0.6","International student data 14/01/2018",144.9485787,-37.8111642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0
